factor_set,mode,vehicle_type,fuel_type,scope,value_kg_co2_per_ton_km,basis_load_factor,basis_empty_share,source,year,is_verified,notes,is_default
glec,road,artic_truck_40t,electric_se,WTW,0.00420,0.72,0.30,Derived from Ember 2025 (CY2024) - Sweden generation intensity,2026,no,"Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.035 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries — never apply one average across a multi-country route.",no
glec,road,artic_truck_40t,electric_pl,TTW,0.00000,0.72,0.30,Derived from Ember 2025 (CY2024) - Poland generation intensity,2026,no,"Zero at the vehicle by definition; the emissions are at the power station. Compare on WTW, never on TTW. Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.589 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries — never apply one average across a multi-country route.",no
glec,road,artic_truck_40t,electric_pl,WTW,0.07074,0.72,0.30,Derived from Ember 2025 (CY2024) - Poland generation intensity,2026,no,"Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.589 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries — never apply one average across a multi-country route.",no
glec_accompanied,road,artic_truck_40t,hvo,TTW,0.00086,0.72,0.30,Derived from GLEC Table 42 and DEFRA/DESNZ conversion factors,2026,no,"Scaled off the GLEC diesel row by DEFRA's per-litre ratio, corrected for HVO's lower volumetric energy (35.8 vs 34.4 MJ/l), so it inherits GLEC's load factor and empty running rather than assuming a payload. DEFRA publishes one generic HVO figure: crop-grown feedstock with indirect land-use change can be several times worse and is NOT covered here. Confirm your supplier's feedstock.",no
glec_accompanied,road,artic_truck_40t,hvo,WTW,0.01453,0.72,0.30,Derived from GLEC Table 42 and DEFRA/DESNZ conversion factors,2026,no,"Scaled off the GLEC diesel row by DEFRA's per-litre ratio, corrected for HVO's lower volumetric energy (35.8 vs 34.4 MJ/l), so it inherits GLEC's load factor and empty running rather than assuming a payload. DEFRA publishes one generic HVO figure: crop-grown feedstock with indirect land-use change can be several times worse and is NOT covered here. Confirm your supplier's feedstock.",no
glec_accompanied,road,artic_truck_40t,electric_eu,TTW,0.00000,0.72,0.30,Derived from EEA 2023 - EU average generation intensity,2026,no,"Zero at the vehicle by definition; the emissions are at the power station. Compare on WTW, never on TTW. Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.242 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries — never apply one average across a multi-country route.",no
glec_accompanied,road,artic_truck_40t,electric_eu,WTW,0.02906,0.72,0.30,Derived from EEA 2023 - EU average generation intensity,2026,no,"Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.242 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries — never apply one average across a multi-country route.",no
glec_accompanied,road,artic_truck_40t,electric_de,TTW,0.00000,0.72,0.30,Derived from Ember 2025 (CY2024) - Germany generation intensity,2026,no,"Zero at the vehicle by definition; the emissions are at the power station. Compare on WTW, never on TTW. Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.33 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries — never apply one average across a multi-country route.",no
glec_accompanied,road,artic_truck_40t,electric_de,WTW,0.03963,0.72,0.30,Derived from Ember 2025 (CY2024) - Germany generation intensity,2026,no,"Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.33 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries — never apply one average across a multi-country route.",no
glec_accompanied,road,artic_truck_40t,electric_se,TTW,0.00000,0.72,0.30,Derived from Ember 2025 (CY2024) - Sweden generation intensity,2026,no,"Zero at the vehicle by definition; the emissions are at the power station. Compare on WTW, never on TTW. Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.035 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries — never apply one average across a multi-country route.",no
glec_accompanied,road,artic_truck_40t,electric_se,WTW,0.00420,0.72,0.30,Derived from Ember 2025 (CY2024) - Sweden generation intensity,2026,no,"Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.035 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries — never apply one average across a multi-country route.",no
glec_accompanied,road,artic_truck_40t,electric_pl,TTW,0.00000,0.72,0.30,Derived from Ember 2025 (CY2024) - Poland generation intensity,2026,no,"Zero at the vehicle by definition; the emissions are at the power station. Compare on WTW, never on TTW. Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.589 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries — never apply one average across a multi-country route.",no
glec_accompanied,road,artic_truck_40t,electric_pl,WTW,0.07074,0.72,0.30,Derived from Ember 2025 (CY2024) - Poland generation intensity,2026,no,"Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.589 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries — never apply one average across a multi-country route.",no
glec_freight_average,road,artic_truck_40t,hvo,TTW,0.00086,0.72,0.30,Derived from GLEC Table 42 and DEFRA/DESNZ conversion factors,2026,no,"Scaled off the GLEC diesel row by DEFRA's per-litre ratio, corrected for HVO's lower volumetric energy (35.8 vs 34.4 MJ/l), so it inherits GLEC's load factor and empty running rather than assuming a payload. DEFRA publishes one generic HVO figure: crop-grown feedstock with indirect land-use change can be several times worse and is NOT covered here. Confirm your supplier's feedstock.",no
glec_freight_average,road,artic_truck_40t,hvo,WTW,0.01453,0.72,0.30,Derived from GLEC Table 42 and DEFRA/DESNZ conversion factors,2026,no,"Scaled off the GLEC diesel row by DEFRA's per-litre ratio, corrected for HVO's lower volumetric energy (35.8 vs 34.4 MJ/l), so it inherits GLEC's load factor and empty running rather than assuming a payload. DEFRA publishes one generic HVO figure: crop-grown feedstock with indirect land-use change can be several times worse and is NOT covered here. Confirm your supplier's feedstock.",no
glec_freight_average,road,artic_truck_40t,electric_eu,TTW,0.00000,0.72,0.30,Derived from EEA 2023 - EU average generation intensity,2026,no,"Zero at the vehicle by definition; the emissions are at the power station. Compare on WTW, never on TTW. Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.242 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries — never apply one average across a multi-country route.",no
glec_freight_average,road,artic_truck_40t,electric_eu,WTW,0.02906,0.72,0.30,Derived from EEA 2023 - EU average generation intensity,2026,no,"Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.242 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries — never apply one average across a multi-country route.",no
glec_freight_average,road,artic_truck_40t,electric_de,TTW,0.00000,0.72,0.30,Derived from Ember 2025 (CY2024) - Germany generation intensity,2026,no,"Zero at the vehicle by definition; the emissions are at the power station. Compare on WTW, never on TTW. Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.33 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries — never apply one average across a multi-country route.",no
glec_freight_average,road,artic_truck_40t,electric_de,WTW,0.03963,0.72,0.30,Derived from Ember 2025 (CY2024) - Germany generation intensity,2026,no,"Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.33 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries — never apply one average across a multi-country route.",no
glec_freight_average,road,artic_truck_40t,electric_se,TTW,0.00000,0.72,0.30,Derived from Ember 2025 (CY2024) - Sweden generation intensity,2026,no,"Zero at the vehicle by definition; the emissions are at the power station. Compare on WTW, never on TTW. Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.035 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries — never apply one average across a multi-country route.",no
glec_freight_average,road,artic_truck_40t,electric_se,WTW,0.00420,0.72,0.30,Derived from Ember 2025 (CY2024) - Sweden generation intensity,2026,no,"Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.035 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries — never apply one average across a multi-country route.",no
glec_freight_average,road,artic_truck_40t,electric_pl,TTW,0.00000,0.72,0.30,Derived from Ember 2025 (CY2024) - Poland generation intensity,2026,no,"Zero at the vehicle by definition; the emissions are at the power station. Compare on WTW, never on TTW. Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.589 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries — never apply one average across a multi-country route.",no
glec_freight_average,road,artic_truck_40t,electric_pl,WTW,0.07074,0.72,0.30,Derived from Ember 2025 (CY2024) - Poland generation intensity,2026,no,"Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.589 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries — never apply one average across a multi-country route.",no
placeholder,road,truck_24t,hvo,TTW,0.030,1.0,0.0,PLACEHOLDER,2024,no,Needs a GLEC/ISO 14083 value before use in any report,no
placeholder,road,truck_24t,electric,TTW,0.000,1.0,0.0,PLACEHOLDER,2024,no,TTW is zero by definition; the real number is WTW and grid dependent,no
